title,studio,domestic_gross,foreign_gross,year,total_gross
frozen,BV,400700000,875700000,2013,1276400000
iron man 3,BV,409000000,805800000,2013,1214800000
despicable me 2,Uni.,368100000,602700000,2013,970800000
the hobbit: the desolation of smaug,WB (NL),258399999,700000000,2013,958399999
the hunger games: catching fire,LGF,424700000,440300000,2013,865000000
fast & furious 6,Uni.,238700000,550000000,2013,788700000
monsters university,BV,268500000,475700000,2013,744200000
gravity,WB,274100000,449100000,2013,723200000
man of steel,WB,291000000,377000000,2013,668000000
thor: the dark world,BV,206400000,438200000,2013,644600000
the croods,Fox,187200000,400000000,2013,587200000
world war z,Par.,202400000,337600000,2013,540000000
oz the great and powerful,BV,234900000,258399999,2013,493299999
star trek into darkness,Par.,228800000,238600000,2013,467400000
the wolverine,Fox,132600000,282300000,2013,414900000
pacific rim,WB,101800000,309200000,2013,411000000
the wolf of wall street,Par.,116900000,275100000,2013,392000000
g.i. joe: retaliation,Par.,122500000,253200000,2013,375700000
the hangover part iii,WB,112200000,249800000,2013,362000000
the great gatsby (2013),WB,144800000,208800000,2013,353600000
now you see me,LG/S,117700000,234000000,2013,351700000
the smurfs 2,Sony,71000000,276500000,2013,347500000
the conjuring,WB (NL),137400000,182100000,2013,319500000
a good day to die hard,Fox,67300000,237300000,2013,304600000
oblivion,Uni.,89100000,197100000,2013,286200000
elysium,TriS,93100000,193100000,2013,286200000
turbo,Fox,83000000,199500000,2013,282500000
cloudy with a chance of meatballs 2,Sony,119800000,154500000,2013,274300000
we're the millers,WB (NL),150400000,119600000,2013,270000000
epic,Fox,107500000,160900000,2013,268400000
the lone ranger,BV,89300000,171200000,2013,260500000
american hustle,Sony,150100000,101100000,2013,251200000
grown ups 2,Sony,133699999,113300000,2013,246999999
after earth,Sony,60500000,183300000,2013,243800000
planes,BV,90300000,149000000,2013,239300000
the heat,Fox,159600000,70300000,2013,229900000
hansel and gretel: witch hunters,Par.,55700000,170600000,2013,226300000
captain phillips,Sony,107100000,111700000,2013,218800000
white house down,Sony,73100000,132300000,2013,205400000
percy jackson: sea of monsters,Fox,68600000,131300000,2013,199900000
lost in thailand,WAMCR,57400,197700000,2013,197757400
jack the giant slayer,WB (NL),65200000,132500000,2013,197700000
the secret life of walter mitty,Fox,58200000,129900000,2013,188100000
12 years a slave,FoxS,56700000,131100000,2013,187800000
lee daniels' the butler,Wein.,116600000,60000000,2013,176600000
identity thief,Uni.,134500000,39500000,2013,174000000
anchorman 2: the legend continues,Par.,125200000,46300000,2013,171500000
olympus has fallen,FD,98900000,71300000,2013,170200000
insidious chapter 2,FD,83600000,78300000,2013,161900000
lone survivor,Uni.,125100000,29700000,2013,154800000
jackass presents: bad grandpa,Par.,102000000,49800000,2013,151800000
47 ronin,Uni.,38400000,113400000,2013,151800000
red 2,LG/S,53300000,94800000,2013,148100000
mama,Uni.,71600000,74800000,2013,146400000
escape plan,LG/S,25100000,112200000,2013,137300000
last vegas,CBS,63900000,70500000,2013,134400000
2 guns,Uni.,75600000,56300000,2013,131900000
walking with dinosaurs,Fox,36100000,90500000,2013,126600000
this is the end,Sony,101500000,24600000,2013,126100000
ender's game,LG/S,61700000,63800000,2013,125500000
prisoners,WB,61000000,61100000,2013,122100000
saving mr. banks,BV,83300000,34600000,2013,117900000
warm bodies,LG/S,66400000,50600000,2013,117000000
jurassic park 3d,Uni.,45400000,71100000,2013,116500000
personal tailor,CL,376000,115800000,2013,116176000
free birds,Rela.,55800000,54600000,2013,110400000
gangster squad,WB,46000000,59200000,2013,105200000
philomena,Wein.,37700000,62400000,2013,100100000
instructions not included,LGF,44500000,54600000,2013,99100000
riddick,Uni.,42000000,56300000,2013,98300000
safe haven,Rela.,71300000,26200000,2013,97500000
evil dead (2013),TriS,54200000,43300000,2013,97500000
blue jasmine,SPC,33400000,64099999,2013,97499999
the mortal instruments: city of bones,SGem,31200000,64200000,2013,95400000
the internship,Fox,44700000,48800000,2013,93500000
rush (2013),Uni.,26900000,63300000,2013,90200000
the purge,Uni.,64500000,24900000,2013,89400000
dhoom 3,Yash,8000000,80000000,2013,88000000
about time,Uni.,15300000,71800000,2013,87100000
pain and gain,Par.,49900000,36300000,2013,86200000
carrie (2013),SGem,35300000,49500000,2013,84800000
the family (2013),Rela.,36900000,41500000,2013,78400000
scary movie 5,W/Dim.,32000000,46400000,2013,78400000
r.i.p.d.,Uni.,33600000,44700000,2013,78300000
tiny times,CL,23500,77700000,2013,77723500
the book thief,Fox,21500000,55100000,2013,76600000
escape from planet earth,Wein.,57000000,17600000,2013,74600000
august: osage county,Wein.,37700000,36500000,2013,74200000
the best man holiday,Uni.,70500000,2300000,2013,72800000
young detective dee: rise of the sea dragon,WAMCR,87800,72200000,2013,72287800
the counselor,Fox,17000000,54000000,2013,71000000
the call,TriS,51900000,16700000,2013,68600000
one direction: this is us,TriS,28900000,39700000,2013,68600000
the grandmaster,Wein.,6600000,57500000,2013,64100000
side effects (2013),ORF,32200000,31200000,2013,63400000
the host (2013),ORF,26600000,36700000,2013,63300000
runner runner,Fox,19300000,43400000,2013,62700000
from up on poppy hill,GK,1000000,60000000,2013,61000000
kick-ass 2,Uni.,28800000,32000000,2013,60800000
a haunted house,ORF,40000000,20100000,2013,60100000
beautiful creatures (2013),WB,19500000,40600000,2013,60100000
quartet,Wein.,18400000,41100000,2013,59500000
dallas buyers club,Focus,27300000,27900000,2013,55200000
the face reader,PM&E,516000,54100000,2013,54616000
tyler perry's a madea christmas,LGF,52500000,853000,2013,53353000
tyler perry's temptation: confessions of a marriage counselor,LGF,52000000,1200000,2013,53200000
delivery man,BV,30700000,19300000,2013,50000000
the berlin file,CJ,665000,48300000,2013,48965000
the last stand,LGF,12100000,36300000,2013,48400000
21 and over,Rela.,25700000,22400000,2013,48100000
her (2013),WB,25600000,21800000,2013,47400000
tiny times 2,CL,43800,47200000,2013,47243800
texas chainsaw 3d,LGF,34300000,12900000,2013,47200000
the big wedding,LGF,21800000,24700000,2013,46500000
parker,FD,17600000,28600000,2013,46200000
the world's end,Focus,26000000,20100000,2013,46100000
grudge match,WB,29800000,15100000,2013,44900000
homefront,ORF,20200000,22900000,2013,43100000
snitch,LG/S,42900000,0,2013,42900000
jobs,ORF,16100000,19800000,2013,35900000
the place beyond the pines,Focus,21400000,14100000,2013,35500000
inside llewyn davis,CBS,13200000,19700000,2013,32900000
mud,RAtt.,21600000,11000000,2013,32600000
movie 43,Rela.,8800000,23600000,2013,32400000
kevin hart: let me explain,LG/S,32200000,74000,2013,32274000
spring breakers,A24,14100000,17600000,2013,31700000
new world (2013),WGUSA,458000,31200000,2013,31658000
don jon,Rela.,24500000,6000000,2013,30500000
i give it a year,Magn.,34700,28200000,2013,28234700
nebraska,Par.,17700000,10000000,2013,27700000
the incredible burt wonderstone,WB (NL),22500000,4900000,2013,27400000
mandela: long walk to freedom,Wein.,8300000,19000000,2013,27300000
khumba,MNE,1000,27200000,2013,27201000
dark skies,W/Dim.,17400000,9000000,2013,26400000
enough said,FoxS,17600000,7700000,2013,25300000
trance,FoxS,2300000,21900000,2013,24200000
"the way, way back",FoxS,21500000,1700000,2013,23200000
kon-tiki,Wein.,1500000,21300000,2013,22800000
baggage claim,FoxS,21600000,887000,2013,22487000
diana,EOne,335000,21400000,2013,21735000
the great beauty,Jan.,2900000,18500000,2013,21400000
22 bullets,Cdgm.,0,21300000,2013,21300000
the sapphires,Wein.,2500000,18000000,2013,20500000
broken city,Fox,19700000,0,2013,19700000
the company you keep,SPC,5100000,14500000,2013,19600000
the bling ring,A24,5800000,13300000,2013,19100000
you're next,LGF,18500000,0,2013,18500000
dead man down,FD,10900000,7200000,2013,18100000
admission,Focus,18000000,0,2013,18000000
fruitvale station,Wein.,16100000,1300000,2013,17400000
battle of the year,SGem,8900000,7700000,2013,16600000
out of the furnace,Rela.,11300000,4300000,2013,15600000
billy and buddy,Distrib.,900,15200000,2013,15200900
the last exorcism part ii,CBS,15200000,0,2013,15200000
machete kills,ORF,8000000,7000000,2013,15000000
journey to the south pacific,Imax,7600000,6500000,2013,14100000
paranoia,Rela.,7400000,6400000,2013,13800000
all is lost,RAtt.,6300000,7400000,2013,13700000
puella magi madoka magica the movie: rebellion,Elev.,376000,12600000,2013,12976000
stoker,FoxS,1700000,10400000,2013,12100000
in the house,Cohen,390000,11500000,2013,11890000
i'm so excited,SPC,1400000,10400000,2013,11800000
haute cuisine,Wein.,218000,11200000,2013,11418000
before midnight,SPC,8100000,3100000,2013,11200000
only god forgives,RTWC,779000,9900000,2013,10679000
the past,SPC,1300000,9300000,2013,10600000
love is all you need,SPC,1600000,8400000,2013,10000000
bullet to the head,WB,9500000,0,2013,9500000
tyler perry presents peeples,LGF,9200000,130000,2013,9330000
jerusalem,NGE,8000000,1300000,2013,9300000
the fifth estate,BV,3300000,5300000,2013,8600000
upside down,MNE,105000,8000000,2013,8105000
metallica through the never,PH,3400000,4600000,2013,8000000
pulling strings,LGF,5800000,2000000,2013,7800000
black nativity,FoxS,7000000,436000,2013,7436000
blue is the warmest color,IFC,2200000,5200000,2013,7400000
unfinished song,Wein.,1700000,5300000,2013,7000000
the angels' share,IFC,347000,6700000,2013,7047000
the spectacular now,A24,6900000,0,2013,6900000
the sweeney,EOne,26700,6300000,2013,6326700
believe,ORF,6200000,0,2013,6200000
matru ki bijlee ka mandola,FIP,0,6000000,2013,6000000
closed circuit,Focus,5800000,0,2013,5800000
populaire,Wein.,179000,5300000,2013,5479000
broken circle breakdown,Trib.,175000,5300000,2013,5475000
fists of legend,CJ,134000,5300000,2013,5434000
chennai express,UTV,5300000,0,2013,5300000
20 feet from stardom,RTWC,4900000,0,2013,4900000
oldboy (2013),FD,2200000,2700000,2013,4900000
commitment,WGUSA,76500,4500000,2013,4576500
white elephant,Strand,8900,4400000,2013,4408900
much ado about nothing (2013),RAtt.,4300000,0,2013,4300000
frances ha,IFC,4099999,0,2013,4099999
you will be my son,Cohen,285000,3600000,2013,3885000
yeh jawaani hai deewani,Eros,3800000,0,2013,3800000
pieta,Drft.,22100,3600000,2013,3622100
mental,Da.,17700,3600000,2013,3617700
the to-do list,CBS,3500000,74600,2013,3574600
mr. nobody,Magn.,3600,3500000,2013,3503600
emperor,RAtt.,3300000,0,2013,3300000
stand up guys,LGF,3300000,0,2013,3300000
in a world,RAtt.,3000000,0,2013,3000000
ram-leela,Eros,2700000,0,2013,2700000
capital,Cohen,102000,2400000,2013,2502000
the east,FoxS,2300000,99700,2013,2399700
i'm in love with a church girl,HTR,2400000,0,2013,2400000
no (2013),SPC,2300000,0,2013,2300000
renoir,Gold.,2300000,0,2013,2300000
the christmas candle,ELS,2300000,0,2013,2300000
reality (2013),Osci.,72600,2200000,2013,2272600
krrish 3,Eros,2200000,0,2013,2200000
austenland,SPC,2200000,0,2013,2200000
the sorcerer and the white snake,Magn.,18800,2100000,2013,2118800
the snitch cartel,PI,0,2100000,2013,2100000
the iceman (2013),MNE,2000000,0,2013,2000000
all the boys love mandy lane,RTWC,0,1900000,2013,1900000
fill the void,SPC,1800000,0,2013,1800000
starbuck (u.s. only),E1,340000,1300000,2013,1640000
bhaag milkha bhaag,Relbig.,1600000,0,2013,1600000
therese,MPI,102000,1500000,2013,1602000
stories we tell,RAtt.,1600000,0,2013,1600000
lovelace,RTWC,357000,1200000,2013,1557000
race 2,UTV,1600000,0,2013,1600000
disconnect,LD,1400000,0,2013,1400000
girl most likely,RAtt.,1400000,0,2013,1400000
wadjda (u.s. only),SPC,1300000,0,2013,1300000
the kings of summer,CBS,1300000,0,2013,1300000
the invisible woman,SPC,1200000,0,2013,1200000
violeta went to heaven,KL,21500,1200000,2013,1221500
romeo and juliet (2013),Rela.,1200000,0,2013,1200000
still mine,Gold.,1200000,0,2013,1200000
the wall (2013),MBox,38700,1100000,2013,1138700
kai po che,UTV,1100000,0,2013,1100000
what maisie knew,MNE,1100000,0,2013,1100000
thanks for sharing,RAtt.,1100000,0,2013,1100000
ain't them bodies saints,IFC,397000,635000,2013,1032000
kill your darlings,SPC,1000000,0,2013,1000000
short term 12,Cdgm.,1000000,0,2013,1000000
ginger & rosa,A24,1000000,0,2013,1000000
lore,MBox,970000,0,2013,970000
raanjhana,Eros,903000,0,2013,903000
6 souls,RTWC,0,852000,2013,852000
generation iron,TVC,850000,0,2013,850000
the monk,ATO,13500,794000,2013,807500
satyagraha,UTV,739000,0,2013,739000
hannah arendt,Zeit.,717000,0,2013,717000
besharam,Relbig.,680000,0,2013,680000
salinger,Wein.,584000,67000,2013,651000
the hunt,Magn.,613000,0,2013,613000
walking the camino: six ways to santiago,FEF,613000,0,2013,613000
to the wonder,Magn.,588000,0,2013,588000
lootera,Eros,582000,0,2013,582000
museum hours,CGld,561000,0,2013,561000
the reluctant fundamentalist,IFC,553000,0,2013,553000
you ain't seen nothin' yet,KL,18900,488000,2013,506900
the inevitable defeat of mister and pete,LGF,495000,0,2013,495000
act of killing,Drft.,487000,0,2013,487000
sound city,Vari.,423000,0,2013,423000
shadow dancer,Magn.,101000,319000,2013,420000
a hijacking,Magn.,414000,0,2013,414000
grand masti,Eros,414000,0,2013,414000
phata poster nikla hero,Eros,411000,0,2013,411000
the armstrong lie,SPC,383000,0,2013,383000
tai chi hero,WGUSA,35100,347000,2013,382100
at any price,SPC,381000,0,2013,381000
shootout at wadala,Eros,370000,0,2013,370000
gori tere pyaar mein,Relbig.,342000,0,2013,342000
adore,EXCL,319000,0,2013,319000
a bottle in the gaza sea,FM,5900,306000,2013,311900
go goa gone,Eros,298000,0,2013,298000
blancanieves,Cohen,280000,0,2013,280000
himmatwala,UTV,271000,0,2013,271000
great expectations (2013),MSF,259000,0,2013,259000
the silence,MBox,100000,132000,2013,232000
singh saab the great,Eros,226000,0,2013,226000
abcd (any body can dance),UTV,222000,0,2013,222000
arthur newman,Cdgm.,208000,0,2013,208000
ghanchakkar,UTV,203000,0,2013,203000
midnight's children,P/108,190000,0,2013,190000
r... rajkumar,Eros,167000,0,2013,167000
we steal secrets: the story of wikileaks,FCW,166000,0,2013,166000
the patience stone,SPC,149000,0,2013,149000
rangeelay,Eros,148000,0,2013,148000
drug war,Vari.,128000,0,2013,128000
beyond the hills,IFC,125000,0,2013,125000
storm surfers 3d,XL,117000,0,2013,117000
yossi,Strand,117000,0,2013,117000
spinning plates,TFA,112000,0,2013,112000
ek thi daayan,Eros,112000,0,2013,112000
the english teacher,Cdgm.,105000,0,2013,105000
man of tai chi,RTWC,100000,0,2013,100000
passion,EOne,92200,0,2013,92200
byzantium,IFC,89200,0,2013,89200
the rooftop,WGUSA,85800,0,2013,85800
we are what we are,EOne,81400,0,2013,81400
stuck in love,MNE,81100,0,2013,81100
more than honey,KL,79800,0,2013,79800
caesar must die,AF,76900,0,2013,76900
leviathan (2013),CGld,76200,0,2013,76200
no one lives,Anch.,74900,0,2013,74900
war witch,Trib.,70500,0,2013,70500
the pervert's guide to ideology,Zeit.,68000,0,2013,68000
my lucky star,CL,64400,0,2013,64400
becoming traviata,Distrib.,62700,0,2013,62700
sightseers,IFC,61800,0,2013,61800
the canyons,IFC,56800,0,2013,56800
table no. 21,Eros,46700,0,2013,46700
wish you were here (2013),EOne,46300,0,2013,46300
a glimpse inside the mind of charles swan iii,A24,45400,0,2013,45400
the we and the i,P/108,42200,0,2013,42200
killing season,MNE,39900,0,2013,39900
post tenebras lux,Strand,39200,0,2013,39200
rising from ashes,FRun,38600,0,2013,38600
berberian sound studio,IFC,38500,0,2013,38500
ip man: the final fight,WGUSA,37900,0,2013,37900
redemption (2013),RAtt.,36900,0,2013,36900
camille claudel 1915,KL,35300,0,2013,35300
bastards,IFC,24500,0,2013,24500
paradise: love,Strand,24300,0,2013,24300
our children,Distrib.,23200,0,2013,23200
v/h/s/2,Magn.,21800,0,2013,21800
the look of love,IFC,21300,0,2013,21300
the painting (2013),GK,21000,0,2013,21000
terraferma,Cohen,20000,0,2013,20000
love and honor (2013),IFC,19700,0,2013,19700
nostalghia,KL,18800,0,2013,18800
casting by,SD,18200,0,2013,18200
violet & daisy,Cdgm.,17200,0,2013,17200
jayne mansfield's car,Anch.,14800,0,2013,14800
a wedding invitation,CJ,14400,0,2013,14400
red obsession,A23,13200,0,2013,13200
the selfish giant,IFC,12200,0,2013,12200
charlie countryman,MNE,11700,0,2013,11700
just like a woman,Cohen,11400,0,2013,11400
so young,CL,11200,0,2013,11200
in the name of,FM,9900,0,2013,9900
inchallah (u.s. only),EOne,9800,0,2013,9800
welcome to the punch,IFC,9700,0,2013,9700
clandestine childhood,IFC,9000,0,2013,9000
argento's dracula 3d,IFC,8100,0,2013,8100
finding mr. right,CL,6900,0,2013,6900
paradise: hope,Strand,6700,0,2013,6700
paradise: faith,Strand,6500,0,2013,6500
the guillotines,WGUSA,5300,0,2013,5300
the stroller strategy,Rialto,3500,0,2013,3500
what richard did,Trib.,2700,0,2013,2700
caught in the web,Vita.,1100,0,2013,1100
i spit on your grave 2,Anch.,800,0,2013,800
into the white,Magn.,700,0,2013,700
storage 24,Magn.,100,0,2013,100
transformers: age of extinction,Par.,245400000,858600000,2014,1104000000
the hobbit: the battle of the five armies,WB (NL),255100000,700900000,2014,956000000
guardians of the galaxy,BV,333200000,440200000,2014,773400000
maleficent,BV,241400000,517100000,2014,758500000
the hunger games: mockingjay - part 1,LGF,337100000,418200000,2014,755300000
x-men: days of future past,Fox,233900000,513900000,2014,747800000
captain america: the winter soldier,BV,259800000,454500000,2014,714300000
dawn of the planet of the apes,Fox,208500000,502100000,2014,710600000
the amazing spider-man 2,Sony,202900000,506100000,2014,709000000
interstellar,Par.,188000000,489400000,2014,677400000
big hero 6,BV,222500000,435300000,2014,657800000
how to train your dragon 2,Fox,177000000,444500000,2014,621500000
american sniper,WB,350100000,197300000,2014,547400000
godzilla (2014),WB,200700000,328400000,2014,529100000
rio 2,Fox,131500000,368600000,2014,500100000
teenage mutant ninja turtles (2014),Par.,191200000,302100000,2014,493300000
the lego movie,WB,257800000,211400000,2014,469200000
lucy,Uni.,126700000,336700000,2014,463400000
penguins of madagascar,Fox,83400000,289700000,2014,373100000
edge of tomorrow,WB,100200000,270300000,2014,370500000
gone girl,Fox,167800000,201600000,2014,369400000
night at the museum: secret of the tomb,Fox,113700000,249500000,2014,363200000
noah,Par.,101200000,261399999,2014,362599999
the maze runner,Fox,102400000,245900000,2014,348300000
300: rise of an empire,WB,106600000,231000000,2014,337600000
22 jump street,Sony,191700000,139600000,2014,331300000
the fault in our stars,Fox,124900000,182300000,2014,307200000
divergent,LG/S,150900000,137900000,2014,288800000
mr. peabody & sherman,Fox,111500000,164200000,2014,275700000
neighbors,Uni.,150200000,120500000,2014,270700000
exodus: gods and kings,Fox,65000000,203200000,2014,268200000
annabelle,WB (NL),84300000,172800000,2014,257100000
hercules (2014),Par.,72700000,172100000,2014,244800000
robocop (2014),Sony,58600000,184100000,2014,242700000
the imitation game,Wein.,91100000,142400000,2014,233500000
non-stop,Uni.,92200000,130600000,2014,222800000
dracula untold,Uni.,56300000,160800000,2014,217100000
the expendables 3,LGF,39300000,175300000,2014,214600000
into the woods,BV,128000000,85100000,2014,213100000
fury (2014),Sony,85800000,126000000,2014,211800000
journey to the west,Magn.,18100,205600000,2014,205618100
need for speed,BV,43600000,159700000,2014,203300000
the other woman (2014),Fox,83900000,112800000,2014,196700000
the equalizer,Sony,101500000,90800000,2014,192300000
breakup buddies,CL,778000,188200000,2014,188978000
the grand budapest hotel,FoxS,59300000,115500000,2014,174800000
dumb and dumber to,Uni.,86200000,83600000,2014,169800000
unbroken,Uni.,115600000,47800000,2014,163400000
into the storm,WB (NL),47600000,114100000,2014,161700000
the monuments men,Sony,78000000,77000000,2014,155000000
ride along,Uni.,134900000,19500000,2014,154400000
planes: fire & rescue,BV,59200000,92200000,2014,151400000
let's be cops,Fox,82400000,55800000,2014,138200000
jack ryan: shadow recruit,Par.,50600000,84900000,2014,135500000
annie (2014),Sony,85900000,47900000,2014,133800000
blended,WB,46300000,81700000,2014,128000000
sex tape,Sony,38500000,87500000,2014,126000000
the theory of everything,Focus,35900000,87800000,2014,123700000
the nut job,ORF,64300000,56600000,2014,120900000
the wind rises,BV,5200000,112700000,2014,117900000
pompeii,TriS,23200000,94600000,2014,117800000
the admiral: roaring currents,CJ,2600000,109600000,2014,112200000
the purge: anarchy,Uni.,72000000,40000000,2014,112000000
the boxtrolls,Focus,50800000,58400000,2014,109200000
horrible bosses 2,WB,54400000,53200000,2014,107600000
ouija,Uni.,50900000,52700000,2014,103600000
birdman,FoxS,42300000,60900000,2014,103200000
transcendence,WB,23000000,80000000,2014,103000000
"alexander and the terrible, horrible, no good, very bad day",BV,67000000,34400000,2014,101400000
heaven is for real,TriS,91400000,9900000,2014,101300000
tammy,WB (NL),84500000,16000000,2014,100500000
p.k.,UTV,10600000,89800000,2014,100400000
the book of life (2014),Fox,50200000,49600000,2014,99800000
paranormal activity: the marked ones,Par.,32500000,58400000,2014,90900000
the hundred-foot journey,BV,54200000,34600000,2014,88800000
john wick,LG/S,43000000,45700000,2014,88700000
deliver us from evil,SGem,30600000,57400000,2014,88000000
a million ways to die in the west,Uni.,43100000,44100000,2014,87200000
snowpiercer,RTWC,4600000,82200000,2014,86800000
step up all in,LG/S,14900000,71300000,2014,86200000
the judge,WB,47100000,37300000,2014,84400000
muppets most wanted,BV,51200000,29200000,2014,80400000
if i stay,WB (NL),50500000,28400000,2014,78900000
"i, frankenstein",LGF,19100000,52100000,2014,71200000
the attorney,WGUSA,557000,70000000,2014,70557000
think like a man too,SGem,65200000,5000000,2014,70200000
brick mansions,Rela.,20400000,48500000,2014,68900000
stalingrad (2014),Sony,1000000,67099999,2014,68099999
son of god,Fox,59700000,8100000,2014,67800000
jersey boys,WB,47000000,20600000,2014,67600000
the giver,Wein.,45100000,21900000,2014,67000000
selma,Par.,52100000,14700000,2014,66800000
god's not dead,Free,60800000,3900000,2014,64700000
thunder and the house of magic!,Shout!,4100,64200000,2014,64204100
begin again,Wein.,16200000,47300000,2014,63500000
the legend of hercules,LG/S,18800000,42400000,2014,61200000
evangelion: 3.0 you can (not) redo,Elev.,175000,60300000,2014,60475000
dolphin tale 2,WB,42000000,15800000,2014,57800000
st. vincent,Wein.,44100000,10700000,2014,54800000
no good deed (2014),SGem,52500000,1800000,2014,54300000
a walk among the tombstones,Uni.,26300000,26900000,2014,53200000
3 days to kill,Rela.,30700000,21900000,2014,52600000
wild (2014),FoxS,37900000,14600000,2014,52500000
magic in the moonlight,SPC,10500000,40500000,2014,51000000
dragon ball z: battle of gods,SV,2600000,47800000,2014,50400000
about last night (2014),SGem,48600000,365000,2014,48965000
whiplash,SPC,13100000,35900000,2014,49000000
chef,ORF,31400000,14500000,2014,45900000
earth to echo,Rela.,38900000,6400000,2014,45300000
boyhood,IFC,25400000,19100000,2014,44500000
oculus,Rela.,27700000,16300000,2014,44000000
bang bang,FIP,2500000,39500000,2014,42000000
as above/so below,Uni.,21300000,20600000,2014,41900000
this is where i leave you,WB,34300000,7000000,2014,41300000
that awkward moment,Focus,26100000,14400000,2014,40500000
frank miller's sin city: a dame to kill for,W/Dim.,13800000,25600000,2014,39400000
the gambler,Par.,33700000,5600000,2014,39300000
million dollar arm,BV,36500000,2800000,2014,39300000
nightcrawler,ORF,32400000,6300000,2014,38700000
devil's due,Fox,15800000,21100000,2014,36900000
a most wanted man,RAtt.,17200000,19000000,2014,36200000
the best of me,Rela.,26800000,9200000,2014,36000000
endless love (2014),Uni.,23400000,11300000,2014,34700000
get on up,Uni.,30700000,2700000,2014,33400000
the november man,Rela.,25000000,7500000,2014,32500000
the pirates,WGUSA,416000,32100000,2014,32516000
winter's tale,WB,12600000,18500000,2014,31100000
when the game stands tall,TriS,30100000,0,2014,30100000
draft day,LG/S,28800000,620000,2014,29420000
big eyes,Wein.,14500000,14800000,2014,29300000
the divine move,CJ,137000,27800000,2014,27937000
top five,Par.,25300000,800000,2014,26100000
iceman (2014),WGUSA,7700,26000000,2014,26007700
and so it goes,CE,15200000,10200000,2014,25400000
on the other side of the tracks,Wein.,9600,25100000,2014,25109600
the players,Wein.,10900,24600000,2014,24610900
the tale of the princess kaguya,GK,703000,23500000,2014,24203000
a haunted house 2,ORF,17300000,6600000,2014,23900000
the railway man,Wein.,4400000,17900000,2014,22300000
mr. turner,SPC,4000000,18200000,2014,22200000
the suspect (2014),WGUSA,219000,21400000,2014,21619000
bears,BV,17800000,3500000,2014,21300000
yves saint laurent,Wein.,724000,20300000,2014,21024000
labor day,Par.,13400000,6900000,2014,20300000
"like father, like son (2014)",IFC,335000,19600000,2014,19935000
left behind (2014),Free,14000000,5700000,2014,19700000
legends of oz: dorothy's return,CE,8500000,10200000,2014,18700000
the drop,FoxS,10700000,7900000,2014,18600000
the quiet ones,LGF,8500000,9300000,2014,17800000
sabotage (2014),ORF,10500000,7000000,2014,17500000
addicted,LGF,17400000,0,2014,17400000
road to ninja - naruto the movie,Elev.,43200,17300000,2014,17343200
calvary,FoxS,3600000,13300000,2014,16900000
the pyramid,Fox,2800000,14100000,2014,16900000
tyler perry's the single moms club,LGF,16000000,364000,2014,16364000
beyond outrage,Magn.,3900,16200000,2014,16203900
before i go to sleep,CE,3200000,12200000,2014,15400000
vampire academy,Wein.,7800000,7600000,2014,15400000
inherent vice,WB,8100000,6600000,2014,14700000
island of lemurs: madagascar (imax),WB,11300000,2800000,2014,14100000
the two faces of january,Magn.,507000,13000000,2014,13507000
fading gigolo,MNE,3800000,9600000,2014,13400000
foxcatcher,SPC,12100000,0,2014,12100000
a most violent year,A24,5700000,6300000,2014,12000000
the interview (2014),Sony,6100000,5200000,2014,11300000
one chance,Wein.,101000,10800000,2014,10901000
bicycling with moliere,Strand,59900,10700000,2014,10759900
belle,FoxS,10700000,0,2014,10700000
wetlands,Strand,59500,10500000,2014,10559500
moms' night out,TriS,10400000,0,2014,10400000
the babadook,IFC,964000,9300000,2014,10264000
nymphomaniac: volume i,Magn.,786000,9500000,2014,10286000
gladiators of rome,VPD,8200,10100000,2014,10108200
mood indigo,Drft.,303000,9500000,2014,9803000
alan partridge: the movie,Magn.,153000,9600000,2014,9753000
venus in fur,IFC,374000,8000000,2014,8374000
filth,Magn.,34400,8300000,2014,8334400
what if (2014),CBS,3500000,4400000,2014,7900000
finding fanny,FIP,616000,7100000,2014,7716000
pride (2014),CBS,1400000,6100000,2014,7500000
chinese puzzle,Cohen,339000,7100000,2014,7439000
a long way down,Magn.,13300,7200000,2014,7213300
jessabelle,LGF,0,7000000,2014,7000000
"two days, one night",IFC,1400000,5400000,2014,6800000
a letter to momo,GK,71700,6700000,2014,6771700
cantinflas,LGF,6400000,0,2014,6400000
le chef,Cohen,343000,5900000,2014,6243000
mas negro que la noche,LGF,870000,5200000,2014,6070000
french gigolo (cliente),IFC,3000,6000000,2014,6003000
the trip to italy,IFC,2900000,3000000,2014,5900000
the immigrant,Wein.,2000000,3800000,2014,5800000
wish i was here,Focus,3600000,1900000,2014,5500000
under the skin (2014),A24,2600000,2800000,2014,5400000
the skeleton twins,RAtt.,5300000,0,2014,5300000
the french minister,IFC,12000,5100000,2014,5112000
ernest & celestine,GK,262000,4800000,2014,5062000
tracks (2014),Wein.,510000,4400000,2014,4910000
the love punch,KE,267000,4500000,2014,4767000
dear white people,RAtt.,4400000,0,2014,4400000
the lunchbox,SPC,4200000,0,2014,4200000
my old lady,Cohen,4000000,0,2014,4000000
diplomacy,Zeit.,231000,3700000,2014,3931000
horns,RTWC,174000,3700000,2014,3874000
ida,MBox,3800000,0,2014,3800000
14 blades,RTWC,0,3800000,2014,3800000
ragnarok,Magn.,1400,3700000,2014,3701400
veronica mars,WB,3300000,195000,2014,3495000
mommy,RAtt.,3500000,0,2014,3500000
